,Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,Compilo,Match
9532,Bukkit/eclipse/org/bukkit/Material,True,1181.0,15076.0,False,,False,JADX-0.9.0,28.0
9533,Bukkit/eclipse/org/bukkit/TreeType,True,0.0,225.0,True,0.0,,JADX-0.9.0,36.0
9534,Bukkit/eclipse/org/bukkit/permissions/ServerOperator,True,0.0,14.0,True,0.0,,JADX-0.9.0,442.0
9535,Bukkit/eclipse/org/bukkit/permissions/PermissionAttachmentInfo,True,18.0,296.0,True,0.0,,JADX-0.9.0,445.0
9536,Bukkit/eclipse/org/bukkit/permissions/Permission,True,69.0,3404.0,True,18.0,True,JADX-0.9.0,445.0
9537,Bukkit/eclipse/org/bukkit/permissions/PermissionRemovedExecutor,True,0.0,9.0,True,0.0,,JADX-0.9.0,441.0
9538,Bukkit/eclipse/org/bukkit/permissions/Permissible,True,8.0,121.0,True,8.0,,JADX-0.9.0,444.0
9539,Bukkit/eclipse/org/bukkit/permissions/PermissionDefault,True,34.0,529.0,False,,False,JADX-0.9.0,443.0
9540,Bukkit/eclipse/org/bukkit/permissions/PermissionAttachment,True,52.0,668.0,True,18.0,,JADX-0.9.0,445.0
9541,Bukkit/eclipse/org/bukkit/permissions/PermissibleBase,True,266.0,3201.0,False,,,JADX-0.9.0,444.0
9542,Bukkit/eclipse/org/bukkit/generator/BlockPopulator,True,0.0,29.0,True,0.0,,JADX-0.9.0,43.0
9543,Bukkit/eclipse/org/bukkit/generator/ChunkGenerator,True,122.0,477.0,False,,,JADX-0.9.0,42.0
9544,Bukkit/eclipse/org/bukkit/BanList,True,16.0,112.0,False,,,JADX-0.9.0,22.0
9545,Bukkit/eclipse/org/bukkit/command/CommandMap,True,4.0,95.0,True,0.0,,JADX-0.9.0,386.0
9546,Bukkit/eclipse/org/bukkit/command/FormattedCommandAlias,True,94.0,1490.0,True,196.0,,JADX-0.9.0,378.0
9547,Bukkit/eclipse/org/bukkit/command/MultipleCommandAlias,True,7.0,213.0,True,0.0,,JADX-0.9.0,382.0
9548,Bukkit/eclipse/org/bukkit/command/TabExecutor,True,0.0,6.0,True,0.0,,JADX-0.9.0,393.0
9549,Bukkit/eclipse/org/bukkit/command/PluginCommand,True,167.0,1470.0,False,,,JADX-0.9.0,387.0
9550,Bukkit/eclipse/org/bukkit/command/defaults/KickCommand,True,9.0,686.0,True,4.0,,JADX-0.9.0,415.0
9551,Bukkit/eclipse/org/bukkit/command/defaults/KillCommand,True,18.0,452.0,True,14.0,,JADX-0.9.0,395.0
9552,Bukkit/eclipse/org/bukkit/command/defaults/WhitelistCommand,True,62.0,1909.0,True,58.0,,JADX-0.9.0,409.0
9553,Bukkit/eclipse/org/bukkit/command/defaults/SaveOffCommand,True,12.0,332.0,True,6.0,True,JADX-0.9.0,399.0
9554,Bukkit/eclipse/org/bukkit/command/defaults/DifficultyCommand,True,33.0,1094.0,True,9.0,,JADX-0.9.0,408.0
9555,Bukkit/eclipse/org/bukkit/command/defaults/BukkitCommand,True,0.0,94.0,True,0.0,True,JADX-0.9.0,420.0
9556,Bukkit/eclipse/org/bukkit/command/defaults/ExpCommand,True,40.0,1115.0,True,231.0,,JADX-0.9.0,440.0
9557,Bukkit/eclipse/org/bukkit/command/defaults/VersionCommand,True,96.0,1573.0,True,180.0,True,JADX-0.9.0,401.0
9558,Bukkit/eclipse/org/bukkit/command/defaults/PlaySoundCommand,True,312.0,1436.0,True,278.0,,JADX-0.9.0,434.0
9559,Bukkit/eclipse/org/bukkit/command/defaults/SpawnpointCommand,True,103.0,1196.0,True,199.0,,JADX-0.9.0,403.0
