Class,CFR-0.141,Dava-3.3.0,Fernflower,JADX-0.9.0,JD-Core-1.0.0,JD-GUI-1.4.1,Jode-1.1.2-pre1,Krakatau,Procyon-0.5.34
Bukkit/eclipse/org/bukkit/event/HandlerList,False,False,False,True,False,False,False,False,True
Bukkit/eclipse/org/bukkit/event/Listener,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/Action,True,False,True,True,False,True,False,False,True
Bukkit/eclipse/org/bukkit/event/block/BlockBreakEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockBurnEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockCanBuildEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockDamageEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockDispenseEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockExpEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockFadeEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockFormEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockFromToEvent,True,False,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockGrowEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockIgniteEvent,True,False,False,False,False,False,True,False,True
Bukkit/eclipse/org/bukkit/event/block/BlockMultiPlaceEvent,True,False,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/event/block/BlockPhysicsEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockPistonEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockPistonExtendEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockPistonRetractEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/block/BlockPlaceEvent,True,True,True,True,True,True,True,True,True
